Question|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
Who was the only U.S. President to wear a Nazi uniform ?|Who was|WP|VBD|VBD|HUM
Woodrow Wilson served as president of what university ?|what university|WP|NN|VBD|HUM
Where are the tropical rain forest distributions ?|Where are|WRB|VBP|VBP|LOC
What's the nickname of oddsmaker Jimmy Snyder ?|What 's|WP|VBZ|VBZ|HUM
What is the fear of being loved ?|What is|WP|VBZ|VBZ|ENTY
What was the number of people that Randy Steven Craft was convicted of killing ?|What was that Randy|WDT|NNP|VBD|NUM
What was Queen Victoria's title regarding India ?|What was|WP|VBD|VBD|HUM
How is a hydrogen bomb different from a nuclear bomb ?|How is|WRB|VBZ|VBZ|DESC
How far can a man travel in outer space ?|How far|WRB|RB|MD|NUM
Where was Lincoln assassinated ?|Where was|WRB|VBD|VBN|LOC
What type of food makes you fat ?|What type|WDT|NN|VBZ|ENTY
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?|What is which attacks that surrounds|WDT|VBZ|VBZ|ENTY
What was the U.S. highway death toll in 1969 ?|What was|WP|VBD|VBD|NUM
What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?|What kind|WDT|NN|VBP|ENTY
What are the shortest and the longest songs ever produced ?|What are|WP|VBP|VBP|ENTY
What letter is to the right of K on a typewriter keyboard ?|What letter|WP|NN|VBZ|ENTY
What is the origin and the meaning of the name , '' Hajo ? ''|What is|WP|VBZ|VBZ|DESC
What is the plural of gulf ?|What is|WP|VBZ|VBZ|ENTY
Whose autobiography is titled Yes I Can ?|Whose autobiography|WP$|NN|VBN|HUM
What year did the United States pass the Copyright law ?|What year|WDT|NN|VB|NUM
What percentage of Americans own their homes ?|What percentage|WP|NN|VBP|NUM
What's the first day of the week ?|What 's|WP|VBZ|VBZ|NUM
What city was President William McKinley shot in ?|What city|WP|NN|VBD|LOC
What city has the world's longest subway system ?|What city|WP|NN|VBZ|LOC
Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?|Who claimed|WP|VBD|VBD|HUM
What is Bombay duck ?|What is|WP|VBZ|VBZ|DESC
How many degrees cooler is the inside of a cucumber than the air outside ?|How many|WRB|JJ|VBZ|NUM
What double talking '' professor '' holds a doctorate in Nothing ?|What double|WP|VBZ|VBZ|HUM
What are the five most expensive cities in the world ?|What are|WP|VBP|VBP|LOC
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?|What 19th|WP|JJ|VBD|HUM
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?|How many|WRB|JJ|VBZ|NUM
What is a virtual IP address ?|What is|WP|VBZ|VBZ|DESC
What was the name of the cook on Rawhide ?|What was|WP|VBD|VBD|HUM
What county is Chicago in ?|What county|WP|NN|VBZ|LOC
What is the wingspan of a condor ?|What is|WP|VBZ|VBZ|NUM
What facial feature typically contains about 55 hairs ?|What facial|WP|JJ|VBZ|DESC
Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage .|Who was|WP|VBD|VBN|HUM
How can I transport files from one computer to another ?|How can|WRB|MD|VB|DESC
What's the literary term for a play on words ?|What 's|WP|VBZ|VBZ|ENTY
What color were their horses ?|What color|WP|NN|VBD|ENTY
What does an average daycare provider get paid in New England ?|What does|WP|VBZ|VBN|NUM
What author landed a 468-pound marlin without harness in the early 193's ?|What author|WP|NN|VBD|HUM
How many Americans fought for the British in the American Revolution ?|How many|WRB|JJ|VBD|NUM
What kind of education do I need to become a flight attendant ?|What kind|WDT|NN|VBP|ENTY
What are the two languages of Malta ?|What are|WP|VBP|VBP|ENTY
How many oceans are there and name them ?|How many|WRB|JJ|VBP|NUM
What happened during the Blackhawk Indian war of 1832 ?|What happened|WP|VBD|VBD|DESC
How many pairs of legs does a lobster have ?|How many|WRB|JJ|VB|NUM
What does the Latin ante mortem mean ?|What does|WP|VBZ|VB|DESC
What does the name Shawn mean ?|What does|WP|VBZ|VB|DESC
Where is the Danube ?|Where is|WRB|VBZ|VBZ|LOC
What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?|What lawyer|WP|NN|VBD|HUM
What do you call a group of geese ?|What do|WP|VBP|VB|ENTY
Who delivered his last newscast on March 6 , 1981 ?|Who delivered|WP|VBD|VBD|HUM
How many times has '' Louie , Louie '' been recorded ?|How many|WRB|JJ|VBZ|NUM
How is Answers.com different from KnowPost.com ?|How is|WRB|VBZ|VBZ|DESC
What is the longest place name in the U.S. ?|What is|WP|VBZ|VBZ|LOC
What percent liked Thatcher after she had been in power for a decade ?|What percent|WP|NN|VBD|NUM
Where does Buzz Aldrin want to build a permanent , manned space station ?|Where does|WRB|VBZ|VBP|LOC
What was Mel Gibson's first movie ?|What was|WP|VBD|VBD|ENTY
Why was the L.A. office of Shea and Gould closed ?|Why was|WRB|VBD|VBD|DESC
How do I start a bank ?|How do|WRB|VBP|VB|DESC
How do Ouija Boards work ?|How do|WRB|VBP|NN|DESC
What horse did Zorro ride ?|What horse|WP|NN|VB|ENTY
How do you get a broken cork out of a bottle ?|How do|WRB|VBP|VB|DESC
Where can I find correct tabs for Third Eye Blind songs ?|Where can|WRB|MD|VB|LOC
How do you determine heating requirements for your home ?|How do|WRB|VBP|VB|DESC
What former major-league left-handed baseball pitcher was known as '' Space Man '' ?|What former|WP|JJ|VBN|HUM
Which hair care product told us '' hate that gray , wash it away '' ?|Which hair|WDT|NN|VBD|ENTY
Why did the chicken cross the road ?|Why did|WRB|VBD|VBP|DESC
What was Michelangelo's last name ?|What was|WP|VBD|VBD|HUM
Who is Barbara Jordan ?|Who is|WP|VBZ|VBZ|HUM
Who was the Democratic nominee in the American presidential election ?|Who was|WP|VBD|VBD|HUM
What was Connecticut's first constitution called ?|What was|WP|VBD|VBD|ENTY
What historical event happened in Dogtown in 1899 ?|What historical|WP|JJ|VBD|ENTY
What is being done about the millennium bug ?|What is|WP|VBZ|VBN|DESC
What was the claim to fame of King Camp Gillette ?|What was|WP|VBD|VBD|DESC
What is the most common kind of skin cancer in the U.S. ?|What is|WP|VBZ|VBZ|ENTY
What is Olestra ?|What is|WP|VBZ|VBZ|DESC
What Asian country has a bill of rights for cows ?|What Asian|WP|JJ|VBZ|LOC
How many fingers are used to draw a bow ?|How many|WRB|JJ|VBN|NUM
What are two plants that clothes are made from ?|What are that clothes|WDT|NNS|VBP|ENTY
When was Hurricane Hugo ?|When was|WRB|VBD|VBD|NUM
What is the most heavily caffeinated soft drink ?|What is|WP|VBZ|VBZ|ENTY
What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?|What President|WP|NNP|VBD|HUM
What was the price of Varian Associates ' vacuum products division ?|What was|WP|VBD|VBD|NUM
When was '' the Great Depression '' ?|When was|WRB|VBD|VBD|NUM
What language is mostly spoken in Brazil ?|What language|WP|NN|VBN|ENTY
What college produced the most winning Super Bowl quarterbacks ?|What college|WP|NN|VBD|HUM
How do you solve '' Rubik's Cube '' ?|How do|WRB|VBP|VB|DESC
What is prepared mustard ?|What is|WP|VBZ|JJ|DESC
What classical Spanish writer warned : '' All that glitters is not gold '' ?|What classical|WP|JJ|VBD|HUM
What does '' antidisestablishmentarianism '' mean ?|What does|WP|VBZ|VB|DESC
What actor married John F. Kennedy's sister ?|What actor|WP|NN|VBD|HUM
What does a topophobic actor suffer from ?|What does|WP|VBZ|VB|ENTY
Who fired Maria Ybarra from her position in San Diego council ?|Who fired|WP|VBD|VBD|HUM
The italian artist , Maurizio Pellegrin , is how old ?|how old|WRB|JJ|VBZ|NUM
What type of hunting are retrievers used for ?|What type|WDT|NN|VBP|ENTY
What is Colin Powell best known for ?|What is|WP|VBZ|VBZ|DESC
Who was the first black golfer to tee off in the Masters ?|Who was|WP|VBD|VBD|HUM
What city is the setting for Puccini's opera La Boheme ?|What city|WP|NN|VBZ|LOC
What U.S. President showed a fondness for munching on bee pollen bars ?|What U.S.|WP|NNP|VBD|HUM
What is measured in curies ?|What is|WP|VBZ|VBN|DESC
Whose cover is that of an employee of Universal Import and Export ?|Whose cover|WP$|NN|VBZ|HUM
What former president's daughter has written a book titled Murder in the White House ?|What former|WP|JJ|VBN|HUM
What fictional character is known as the '' melancholy Dane '' ?|What fictional|WP|JJ|VBN|HUM
Italy is the largest producer of what ?|what ?|WP|.|VBZ|ENTY
What longtime game show host dropped dead while jogging in Central Park in 1984 ?|What longtime|WP|JJ|VBN|HUM
What is the meaning of W.B. Yeat's poem , '' The Three Hermits ? ''|What is|WP|VBZ|VBZ|DESC
Who were the '' filthiest people alive ? ''|Who were|WP|VBD|VBD|HUM
What infectious disease is the world's deadliest ?|What infectious|WP|JJ|VBZ|ENTY
What is Spumante ?|What is|WP|VBZ|VBZ|DESC
In what year did Ireland elect its first woman president ?|what year|WDT|NN|VB|NUM
What is an isthmus ?|What is|WP|VBZ|VBZ|DESC
What was the name of the orca that died of a fungal infection ?|What was that died|WDT|VBD|VBD|ENTY
Where is Mozambique located ?|Where is|WRB|VBZ|VBN|LOC
What is Mississippi's state animal ?|What is|WP|VBZ|VBZ|ENTY
What's the origin of the word ' news ' ?|What 's|WP|VBZ|VBZ|DESC
What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?|What did|WP|VBD|VBD|ENTY
How many months does a normal human pregnancy last ?|How many|WRB|JJ|JJ|NUM
How do fuel injectors work ?|How do|WRB|VBP|VBP|DESC
How can your school march in the Macy's Thanksgiving Parade ?|How can|WRB|MD|NN|DESC
What is the real name of disc jockey '' Wolfman Jack '' ?|What is|WP|VBZ|VBZ|HUM
What Italian liner was hijacked in 1985 ?|What Italian|WP|JJ|VBN|ENTY
What city houses the U.S. headquarters of Procter and Gamble ?|What city|WP|NN|NNS|LOC
What soap was touted as being '' for people who like people '' ?|What soap who like|WP|VBP|VBN|ENTY
How much was the minimum wage in 1991 ?|How much|WRB|JJ|VBD|NUM
What does NAFTA stand for ?|What does|WP|VBZ|VB|ABBR
Who invented silly putty ?|Who invented|WP|VBD|VBD|HUM
What new middle school was built in Philadelphia , Pennsylvania last year ?|What new|WDT|JJ|VBN|HUM
Who patented the first phonograph ?|Who patented|WP|VBD|VBD|HUM
What are some tips for building a fire in a fireplace ?|What are|WP|VBP|VBP|ENTY
What do manatees eat ?|What do|WP|VBP|VB|ENTY
How do you say 2 in Latin ?|How do|WRB|VBP|VB|ENTY
What were popular songs and types of songs in the 1920s ?|What were|WP|VBD|VBD|ENTY
How many Vietnamese were there in the Soviet Union ?|How many|WRB|JJ|VBD|NUM
What is November's birthstone ?|What is|WP|VBZ|VBZ|ENTY
What is a Certified Nurse Midwife ?|What is|WP|VBZ|VBZ|DESC
On average , how many miles are there to the moon ?|how many|WRB|JJ|VBP|NUM
Who created private detective Philip Marlowe ?|Who created|WP|VBD|VBD|HUM
What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?|What Boris|WP|NNP|VB|ENTY
What is the origin of the expression '' tout de suite '' ?|What is|WP|VBZ|VBZ|DESC
What is the longest English word ?|What is|WP|VBZ|VBZ|ENTY
What is the purpose of a car bra ?|What is|WP|VBZ|VBZ|DESC
What is D.B. Cooper known for ?|What is|WP|VBZ|VBZ|DESC
Who is Colin Powell ?|Who is|WP|VBZ|VBZ|HUM
What species is a colt ?|What species|WP|NN|VBZ|ENTY
What is the full name of the PLO ?|What is|WP|VBZ|VBZ|ABBR
What is the smallest country in Africa ?|What is|WP|VBZ|VBZ|LOC
Who coined the term NN cyberspace '' in his novel NN Neuromancer '' ?|Who coined|WP|VBD|VBD|HUM
What age followed the Bronze Age ?|What age|WP|NN|VBD|ENTY
What is her profession ?|What is|WP|VBZ|VBZ|HUM
What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?|What is who invented that has|WDT|VBZ|VBZ|HUM
What does the word LASER mean ?|What does|WP|VBZ|VB|ABBR
What does the name '' Anthony '' mean ?|What does|WP|VBZ|VB|DESC
Who was Lauren Bacall's first husband ?|Who was|WP|VBD|VBD|HUM
What is a rhomboideus minor ?|What is|WP|VBZ|VBZ|DESC
How many hands does Bjorn Borg use when hitting his forehand ?|How many when hitting|WRB|VBG|VBZ|NUM
How many people died on D-Day ?|How many|WRB|JJ|VBD|NUM
What U.S. Congressman said : '' Keep the faith , baby '' .|What U.S.|WP|NNP|VBD|HUM
Who created the character of Scrooge ?|Who created|WP|VBD|VBD|HUM
What is the student population at the University of Massachusetts in Amherst ?|What is|WP|VBZ|VBZ|NUM
Where is Windsor Castle ?|Where is|WRB|VBZ|VBZ|LOC
When did the Dow first reach ?|When did|WRB|VBD|VB|NUM
Why were people recruited for the Vietnam War ?|Why were|WRB|VBD|VBD|DESC
What party was Winston Churchill a member of ?|What party|WP|NN|VBD|HUM
What American League baseball team's worst finish between 1926 and 1964 was fourth ?|What American|WP|NNP|VBD|HUM
Where can I find the names of all the 15 Pokemon ?|Where can|WRB|MD|VB|LOC
What state does Martha Stewart live in ?|What state|WP|NN|RB|LOC
Which killer whale died at Sea World of a fungal infection ?|Which killer|WDT|NN|VBD|ENTY
What are the Benelux countries ?|What are|WP|VBP|VBP|LOC
Where's the Petrified Forest ?|Where 's|WRB|VBZ|VBZ|LOC
What is a language spoken by the Sioux ?|What is|WP|VBZ|VBZ|ENTY
Where is Tornado Alley ?|Where is|WRB|VBZ|VBZ|LOC
Who was the author of '' John Brown's Body '' ?|Who was|WP|VBD|VBD|HUM
What American poet wrote : '' Good fences make good neighbors '' ?|What American|WP|JJ|VBD|HUM
What state in the U.S. has the most blacks ?|What state|WP|NN|VBZ|LOC
Why are electric cars less efficient in the northeast than in California ?|Why are|WRB|VBP|VBP|DESC
What was the occupation of Mandy Rice-Davies ?|What was|WP|VBD|VBD|HUM
What is the city in which Maurizio Pellegrin lives called ?|What is which Maurizio|WDT|NNP|VBZ|LOC
Who painted the Sistine Chapel ?|Who painted|WP|VBD|VBD|HUM
Name the various costumed personas of Dr. Henry Pym .||||VB|HUM
What breed of dog was the '' Little Rascals '' dog ?|What breed|WDT|NN|VBD|ENTY
What are the living conditions in Cuba ?|What are|WP|VBP|VBP|DESC
What color are school buses ?|What color|WP|NN|VBP|ENTY
What is the oldest website on the Internet ?|What is|WP|VBZ|VBZ|LOC
What events happened January 26 , 1978 ?|What events|WDT|NNS|VBD|ENTY
What explorers followed Columbus to the Americas ?|What explorers|WP|NNS|VBD|HUM
Who is actress Goldie Hawn's current actor boyfriend ?|Who is|WP|VBZ|VBZ|HUM
Who banned Peter Rose from baseball for betting on games ?|Who banned|WP|VBD|VBD|HUM
What are the seven virtues ?|What are|WP|VBP|VBP|DESC
What other name were the '' Little Rascals '' known as ?|What other|WDT|JJ|VBD|ENTY
When was the San Francisco fire ?|When was|WRB|VBD|VBD|NUM
What is a fear of food ?|What is|WP|VBZ|VBZ|ENTY
How many casinos are in Atlantic City , NJ ?|How many|WRB|JJ|VBP|NUM
What year did the Vietnam War end ?|What year|WDT|NN|VBD|NUM
What are the names of Richard Nixon's two daughters ?|What are|WP|VBP|VBP|HUM
What's the word for broken glass or sharp rocks embedded in cement on top of a wall ?|What 's|WP|VBZ|VBZ|ENTY
What is the chromosome number of an elephant ?|What is|WP|VBZ|VBZ|NUM
What organization was founded by the Rev. Jerry Falwell ?|What organization|WP|NN|VBN|HUM
What's the longest river in the world ?|What 's|WP|VBZ|VBZ|LOC
Which soft drink does Madonna advertise for ?|Which soft|WDT|JJ|VB|ENTY
What company is being bought by Yahoo and how much is the deal worth ?|What company how much|WRB|JJ|VBN|HUM
When was Berlin's Brandenburg gate erected ?|When was|WRB|VBD|VBN|NUM
How many double-word-score spaces are there on a Scrabble Crossword Game board ?|How many|WRB|JJ|VBP|NUM
What year did Germany sign its nonaggression pact with the Soviet Union ?|What year|WDT|NN|VB|NUM
What mountain range is traversed by the highest railroad in the world ?|What mountain|WP|NN|VBN|LOC
Why were the American soldiers in WWI called '' Doughboys ''|Why were|WRB|VBD|VBN|DESC
Who was nicknamed The Little Corporal ?|Who was|WP|VBD|VBN|HUM
How many CDs has Garth Brooks sold ?|How many|WRB|JJ|VBD|NUM
Name the vessel used by the Atari Force in the DC comics .||||VB|ENTY
Where are the leading medical groups specializing in lung diseases ?|Where are|WRB|VBP|VBG|LOC
How can I find online spelling , and punctuation drills for my 6th grader ?|How can|WRB|MD|VB|DESC
What's the sacred river of India ?|What 's|WP|VBZ|VBZ|LOC
What is Stefan Edberg's native country ?|What is|WP|VBZ|VBZ|LOC
What is the only gland in humans that can regenerate itself ?|What is that can|WDT|MD|VBZ|ENTY
How many Gutenberg Bibles are there ?|How many|WRB|JJ|VBP|NUM
Name the largest country in South America .||||RB|LOC
What astronomical phenomenon takes place in Jan. 1999 ?|What astronomical|WP|JJ|VBZ|ENTY
What information can you get me on Fairground Park in St. Louis|What information|WDT|NN|VB|DESC
What was American folk hero John Chapman's nickname ?|What was|WP|VBD|VBD|HUM
What is the difference between a median and a mean ?|What is|WP|VBZ|VBZ|DESC
What was the top box office movie in April 1998 ?|What was|WP|VBD|VBD|ENTY
What makes thunder ?|What makes|WP|VBZ|VBZ|DESC
What author did photographer Yousuf Karsh call '' the shiest man I ever met '' ?|What author|WP|NN|NN|HUM
Which is the largest clock , diameter wise , in Europe ?|Which is|WDT|VBZ|VBZ|ENTY
What plant is rum made from ?|What plant|WP|NN|VBZ|ENTY
What country are Godiva chocolates from ?|What country|WP|NN|VBP|LOC
Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?|which begins|WDT|VBZ|VB|HUM
Which condiment was once sold as a patent medicine ?|Which condiment|WDT|NN|VBN|ENTY
What U.S. state records the least rainfall ?|What U.S.|WP|NNP|VBZ|LOC
Why did the world enter a global depression in 1929 ?|Why did|WRB|VBD|VB|DESC
What was archy , and mehitabel ?|What was|WP|VBD|VBD|DESC
What Texas city got its name from the Spanish for '' yellow '' ?|What Texas|WP|NNP|VBD|LOC
What are the chemicals used in glowsticks ?|What are|WP|VBP|VBP|ENTY
What country did the Nile River originate in ?|What country|WP|NN|VB|LOC
What color are tennis balls ?|What color|WP|NN|VBP|ENTY
What barroom judge called himself The Law West of the Pecos ?|What barroom|WP|NN|VBD|HUM
What excuse did the NATO people give for hitting the Chinese embassy ?|What excuse|WP|NN|VBP|DESC
Who was President of Costa Rica in 1994 ?|Who was|WP|VBD|VBD|HUM
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?|What sports|WP|NNS|VBN|ENTY
What country has the best defensive position in the board game Diplomacy ?|What country|WP|NN|VBZ|LOC
What two countries share the Khyber Pass ?|What two|WP|CD|VBP|LOC
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?|Who was that tried|WDT|VBD|VBD|HUM
What is the origin of the surname of Braun ?|What is|WP|VBZ|VBZ|DESC
What card game has variations called Canfield , Klondike and Spider ?|What card|WP|NN|VBZ|ENTY
What is Australia Day ?|What is|WP|VBZ|VBZ|DESC
What mammal of North America is the world's longest-lived for its size ?|What mammal|WDT|NN|VBZ|ENTY
What was the Chivington Massacre ?|What was|WP|VBD|VBD|DESC
What actor starred in 1980's Blue Lagoon , 1982's The Pirate Movie and 1983's A Night in Heaven ?|What actor|WP|NN|VBD|HUM
How many home runs did Lou Gehrig have during his career ?|How many|WRB|JJ|VBP|NUM
In what city is the headquarters of Sinn Fein ?|what city|WP|NN|VBZ|LOC
Where can I find information on George Bush ?|Where can|WRB|MD|VB|LOC
Who is the voice of Miss Piggy ?|Who is|WP|VBZ|VBZ|HUM
What is the dialogue circle in cartoons called ?|What is|WP|VBZ|VBZ|ENTY
What does the word camaro mean , from the GM car the Camaro ?|What does|WP|VBZ|VB|DESC
Who replaced Bert Parks as the host of The Miss America Pageant ?|Who replaced|WP|VBD|VBD|HUM
How many boys play the game in Winslow Homer's 1872 painting Snap the Whip ?|How many|WRB|JJ|VBP|NUM
What is the AIM-54C Phoenix ?|What is|WP|VBZ|VBZ|DESC
When are sheep shorn ?|When are|WRB|VBP|VBP|NUM
What sport is Chris Jogis a top player of ?|What sport|WP|NN|VBZ|ENTY
What's the second-largest island in the world ?|What 's|WP|VBZ|VBZ|LOC
What is the definition of low island ?|What is|WP|VBZ|VBZ|DESC
What century does Captain Video live in ?|What century|WP|NN|VB|NUM
What types of water pollution are there ?|What types|WDT|NNS|VBP|ENTY
How many astronauts manned each Project Mercury flight ?|How many|WRB|JJ|VBD|NUM
What soft drink would provide me with the biggest intake of caffeine ?|What soft|WP|JJ|VB|ENTY
What's the name of a golf course in Myrtle Beach ?|What 's|WP|VBZ|VBZ|ENTY
What are some of the significant historical events of the 1990s ?|What are|WP|VBP|VBP|ENTY
Name the only extant trilogy of classical Greek plays .||||VB|ENTY
Where is Logan Airport ?|Where is|WRB|VBZ|VBZ|LOC
What is the difference between Neoclassical art and Romanticism art ?|What is|WP|VBZ|VBZ|DESC
Who was the first person inducted into the U.S. Swimming Hall of Fame ?|Who was|WP|VBD|VBD|HUM
What golfer has been called Ohio Fats and Blobbo ?|What golfer|WP|NN|VBN|HUM
Who murdered Leno and Rosemary LaBianca on August 1|Who murdered|WP|VBD|VBD|HUM
What is the average cost for four years of medical school ?|What is|WP|VBZ|VBZ|NUM
What does God create in the first sentence of the Bible ?|What does|WP|VBZ|VB|ENTY
Which of the following men was not married to Rita Hayworth ?|Which of|WDT|IN|VBN|HUM
What is the current ticket fare from from Cairo to Barbados ?|What is|WP|VBZ|VBZ|NUM
What does NN O '' mean when used as a prefix in Irish surnames ?|What does when used|WRB|VBN|NN|ABBR
How do you find oxidation numbers ?|How do|WRB|VBP|VB|DESC
What is the state nickname of Mississippi ?|What is|WP|VBZ|VBZ|LOC
What is Black Hills , South Dakota most famous for ?|What is|WP|VBZ|VBZ|DESC
What 1966 boob tube bomb took astronauts back to prehistoric times ?|What 1966|WP|CD|VBD|ENTY
How many students attend the University of Massachusetts ?|How many|WRB|JJ|VBP|NUM
Who said , '' I shall return . '' during World War Two ?|Who said|WP|VBD|VBD|HUM
What holidays are celebrated in Ireland ?|What holidays|WDT|NNS|VBN|ENTY
Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?|Who portrayed|WP|VBD|VBD|HUM
What are the Greek numerals ?|What are|WP|VBP|VBP|DESC
What's the name of the temple that is located near the capital city of Laos ?|What 's that is|WDT|VBZ|VBZ|LOC
What is a fear of sleep ?|What is|WP|VBZ|VBZ|ENTY
What auto race was Wilbur Reed the first to win three times ?|What auto|WP|NN|VBD|ENTY
What are the most common breeding birds in the U.S. ?|What are|WP|VBP|VBP|ENTY
What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?|What was|WP|VBD|VBN|ENTY
How do you look up criminal records on the Internet ?|How do|WRB|VBP|VB|DESC
Where is the actress , Marion Davies , buried ?|Where is|WRB|VBZ|VBN|LOC
What is an example of an actual case of using the Fourteenth Amendment ?|What is|WP|VBZ|VBZ|DESC
Who was the Charlie perfume woman ?|Who was|WP|VBD|VBD|HUM
Who portrayed '' Rosanne Rosanna-Dana '' on the television show '' Saturday Night Live '' ?|Who portrayed|WP|VBD|VBD|HUM
What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?|What singer|WP|NN|VBD|HUM
When did Iraqi troops invade Kuwait ?|When did|WRB|VBD|VBP|NUM
What was Mark Johnson referring to when he said : '' I still can 't believe it- we beat the Russians ? ''|What was when he|WRB|PRP|VBD|ENTY
What car was driven in the 199 release of '' Smokey and the Bandit '' ?|What car|WP|NN|VBN|ENTY
What was the backup singing group for Roy Rogers ?|What was|WP|VBD|VBD|HUM
What famous singing cowboy owns the California Angels baseball team ?|What famous|WP|JJ|VBZ|HUM
What 1915 film was the first to gross $5 million ?|What 1915|WP|CD|VBD|ENTY
Where did the term '' 86 '' come from ?|Where did|WRB|VBD|VB|DESC
What causes someone to be ticklish ?|What causes|WP|VBZ|VBZ|DESC
What is the probability that at least 2 out of 25 people will have the same birthday ?|What is|WP|VBZ|VBZ|NUM
How many Canadians emmigrate each year ?|How many|WRB|JJ|VBP|NUM
Why did several San Diego schools remove apples from students menus ?|Why did|WRB|VBD|VBP|DESC
What musical instrument did Sherlock Holmes play ?|What musical|WP|JJ|VB|ENTY
Who was Gerald Ford's vice president ?|Who was|WP|VBD|VBD|HUM
What is '' the washed vodka '' ?|What is|WP|VBZ|VBZ|DESC
How many different languages are spoken in Europe ?|How many|WRB|JJ|VBN|NUM
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?|What year|WDT|NN|VBD|NUM
What's a '' Drinker respirator '' better known as ?|What 's|WP|VBZ|VBZ|ENTY
Who invented batteries ?|Who invented|WP|VBD|VBD|HUM
Why do recipe books recommend starting with cold water when you boil something ?|Why do when you|WRB|PRP|VBP|DESC
Where can I buy a good snowboard for less than $200 ?|Where can|WRB|MD|VB|LOC
What title did Suzette Charles assume for two months in 1984 ?|What title|WDT|NN|VB|HUM
What was the infamous pseudonym of Peter Sutcliffe ?|What was|WP|VBD|VBD|HUM
What is Smokey The Bear's middle name ?|What is|WP|VBZ|VBZ|ENTY
What is Nicholas Cage's occupation ?|What is|WP|VBZ|VBZ|HUM
What British TV series featured Emma Peel ?|What British|WP|JJ|VBD|ENTY
What London street is the home of British journalism ?|What London|WP|NNP|VBZ|LOC
What tragedy befell the city of Dogtown in 1899 ?|What tragedy|WP|NN|VBZ|ENTY
What is the Immaculate Conception ?|What is|WP|VBZ|VBZ|DESC
What are the names of all the U.S. Navy aircraft carriers ?|What are|WP|VBP|VBP|ENTY
What format was VHS's main competition ?|What format|WDT|NN|VBD|ENTY
What is Candlemas Day ?|What is|WP|VBZ|VBZ|DESC
In what city is the famed St. Mark's Square ?|what city|WP|NN|VBZ|LOC
What does the Ouarterly Review of Doublespeak call an '' inoperative statement '' ?|What does|WP|VBZ|VBP|ENTY
How much did the minimum wage amount to in 1991 ?|How much|WRB|JJ|JJ|NUM
Where is Tufts University ?|Where is|WRB|VBZ|VBZ|LOC
What is a pyrotechnic display ?|What is|WP|VBZ|VBZ|DESC
How do I find out about jobs ?|How do|WRB|VBP|VB|DESC
What Japanese manufacturer is known for both its pianos and its motorcycles ?|What Japanese|WP|JJ|VBN|HUM
What is the chemical reactivity of argon ?|What is|WP|VBZ|VBZ|NUM
How many engines does a Boeing 737 have ?|How many|WRB|JJ|VB|NUM
What is the origin of the term '' The Brooklyn Side '' in bowling ?|What is|WP|VBZ|VBZ|DESC
What is a fear of being cold ?|What is|WP|VBZ|VBZ|ENTY
How long was Mao's 1930s Long March ?|How long|WRB|RB|VBD|NUM
What net game sees its women's world amateur champions receive the Uber Cup ?|What net|WP|JJ|VBZ|ENTY
What four-legged creature did a Cornell University study say would make man's best companion in space ?|What four|WP|CD|VBP|ENTY
What does a teaspoon of matter weigh in a black hole ?|What does|WP|VBZ|VBP|NUM
What did British companies stick 175 , 0 tons of tea into in 1982 ?|What did|WP|VBD|VBP|ENTY
What province is Edmonton located in ?|What province|WP|NN|VBN|LOC
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?|How can how much|WRB|JJ|VB|DESC
Who did Sonny Liston succeed as world heavyweight boxing champion ?|Who did|WP|VBD|VBP|HUM
What is California's state bird ?|What is|WP|VBZ|VBZ|ENTY
What is Martin Luther King Jr.'s real birthday ?|What is|WP|VBZ|VBZ|NUM
Name the various super-teams to which the Angel has belonged .|which the|WDT|DT|VB|HUM
How does Zatanna perform her magic in DC comics ?|How does|WRB|VBZ|VB|DESC
What's the name of Jacques Cousteau's research ship ?|What 's|WP|VBZ|VBZ|ENTY
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?|What President|WP|NNP|VBD|HUM
