Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?|What|What drug|WDT|NN|VBP|ENTY
What country was A Terrible Beauty to Leon Uris ?|What|What country|WDT|NN|VBD|LOC
What is typhoid fever ?|What|What is|WP|VBZ|VBZ|DESC
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?|Where|Where can|WRB|MD|VB|LOC
What are the Twin Cities ?|What|What are|WP|VBP|VBP|DESC
What is Beethoven's 9th symphony called ?|What|What is|WP|VBZ|VBZ|ENTY
Which breakfast cereal brought you '' the best each morning '' ?|Which|Which breakfast|WDT|NN|VBD|ENTY
What does Ms. , Miss , and Mrs. stand for ?|What|What does|WP|VBZ|VBP|ABBR
What is the Homelite Inc. home page ?|What|What is|WP|VBZ|VBZ|LOC
What explosive do you get by mixing charcoal , sulfur and saltpeter ?|What|What explosive|WDT|NN|VB|ENTY
What mountainous region of the world is the Lhasa Apso dog native to ?|What|What mountainous|WDT|JJ|VBZ|LOC
What cancer is commonly associated with AIDS ?|What|What cancer|WDT|NN|VBN|ENTY
How long does it take light to reach the Earth from the Sun ?|How|How long|WRB|RB|VB|NUM
Who lives at 39 Stone Canyon Way ?|Who|Who lives|WP|VBZ|VBZ|HUM
How many questions are on this thing ?|How|How many|WRB|JJ|VBP|NUM
Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?|Who|Who played|WP|VBD|VBD|HUM
Who is Karenna Gore , Al Gore's oldest daughter , married to ?|Who|Who is|WP|VBZ|VBZ|HUM
Who played the title role in I Was a Teenage Werewolf ?|Who|Who played|WP|VBD|VBD|HUM
Why are there olives in martinis ?|Why|Why are|WRB|VBP|VBP|DESC
In what year did Hitler gain power of Germany ?|what|what year|WDT|NN|VB|NUM
What year did Rossetti paint '' Beata Beatrix '' ?|What|What year|WDT|NN|NN|NUM
What record company produced the 1978 movie The Wiz ?|What|What record|WDT|NN|VBD|HUM
Where can I find information about touring the Philippines ?|Where|Where can|WRB|MD|VB|LOC
What did The Gas House Gang play ?|What|What did|WP|VBD|VB|ENTY
How many square feet is Bill Gates ' home ?|How|How many|WRB|JJ|VBZ|NUM
What is the name of actor Rex Harrison's son , who starred in a modestly popular TV show during the late 1960's ?|who|What is who starred|WP|VBD|VBZ|HUM
What is the highest Roman numeral ?|What|What is|WP|VBZ|VBZ|DESC
What's the most popular form of bridge ?|What|What 's|WP|VBZ|VBZ|ENTY
Who was the inventor of the stove ?|Who|Who was|WP|VBD|VBD|HUM
What comedian has a legendary reputation for stealing jokes ?|What|What comedian|WDT|NN|VBZ|HUM
Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?|that|Where can that hit|WDT|VBD|VB|LOC
Boxing Day is celebrated on what date ?|what|what date|WP|NN|VBN|NUM
What are the first ten amendements passed ?|What|What are|WP|VBP|VBP|ENTY
What is another term for the painful wrist syndrome ?|What|What is|WP|VBZ|VBZ|ENTY
What's the difference between sleet and freezing rain ?|What|What 's|WP|VBZ|VBZ|DESC
How is the new Ford Econoline van F25 V1 engine ?|How|How is|WRB|VBZ|VBZ|DESC
Who was the king who was forced to agree to the Magna Carta ?|who|Who was who was|WP|VBD|VBD|HUM
Who was made the first honorary citizen of the U.S. ?|Who|Who was|WP|VBD|VBN|HUM
What game is Garry Kasparov really good at ?|What|What game|WDT|NN|VBZ|ENTY
Where was Richard Nixon when Gerald Ford became president ?|when|Where was when Gerald|WRB|NNP|VBD|LOC
Where does the U.S. rank among world countries in area ?|Where|Where does|WRB|VBZ|NN|NUM
What novel did Ian Fleming introduce James Bond in ?|What|What novel|WDT|NN|VBP|ENTY
What was the target rate for M3 growth in 1992 ?|What|What was|WP|VBD|VBD|NUM
What baseball team was routinely called '' dem bums '' by its frustrated fans ?|What|What baseball|WDT|NN|VBN|HUM
Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?|whose|whose literal|WP$|JJ|NN|HUM
When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?|When|When did|WRB|VBD|VB|NUM
What are the major differences in the Catholic and Methodist religions ?|What|What are|WP|VBP|VBP|DESC
Name the On Stage character whose face was never seen .|whose|whose face|WP$|NN|VB|HUM
How much energy is released when oxygen and hydrogen mix ?|when|How much when oxygen|WRB|NN|VBN|NUM
What is the best Internet business to go into ?|What|What is|WP|VBZ|VBZ|HUM
What does Venus Retrograde mean ?|What|What does|WP|VBZ|VB|DESC
Who is known as '' the world's oldest teenager '' ?|Who|Who is|WP|VBZ|VBN|HUM
What are the largest breweries in the world ?|What|What are|WP|VBP|VBP|LOC
What does Las Vegas mean ?|What|What does|WP|VBZ|VB|DESC
What does the word '' meta '' mean ?|What|What does|WP|VBZ|VB|DESC
What keeps clouds in the air ?|What|What keeps|WP|VBZ|VBZ|ENTY
What's the term for any four-sided figure ?|What|What 's|WP|VBZ|VBZ|ENTY
Ray Charles plays which instrument ?|which|which instrument|WDT|NN|VBZ|ENTY
What country and western singer is known as The Silver Fox ?|What|What country|WP|NN|VBN|LOC
What building appropriately enough is depicted on the back of the 1-dollar bill ?|What|What building|WP|VBG|VBN|LOC
What is graduate school ?|What|What is|WP|VBZ|VBZ|DESC
What is the difference between New York-style and Chicago-style pizza ?|What|What is|WP|VBZ|VBZ|DESC
What baseball team owner and sailor is known as The Mouth of the South ?|What|What baseball|WDT|NN|VBN|HUM
What type of betting is used in horse racing ?|What|What type|WDT|NN|VBN|ENTY
What kind of hat does Bat Masterson wear ?|What|What kind|WDT|NN|VB|ENTY
Who was with Patricia Hearst the night she was kidnaped ?|Who|Who was|WP|VBD|VBD|HUM
What is the Viking Prince's first name ?|What|What is|WP|VBZ|VBZ|HUM
What does the abbreviation cwt. ?|What|What does|WP|VBZ|VBZ|ABBR
In what deodorant commercial did tenants have adjoining medicine cabinets ?|what|what deodorant|WDT|NN|VBG|ENTY
Where is Rider College located ?|Where|Where is|WRB|VBZ|VBN|LOC
What boxer's life story is titled Raging Bull ?|What|What boxer|WDT|NN|VBN|HUM
For what reason did some San Diego schools stop serving apples ?|what|what reason|WDT|NN|VBP|DESC
Who advised listeners to '' see the U.S.A. in your Chevrolet '' ?|Who|Who advised|WP|VBD|VBD|HUM
Where was the first restaurant ?|Where|Where was|WRB|VBD|VBD|LOC
Where can I find full written draft of CTBT ?|Where|Where can|WRB|MD|VB|LOC
How many horses died during the civil war ?|How|How many|WRB|JJ|VBD|NUM
How much waste does an average dairy cow produce in a day ?|How|How much|WRB|JJ|VBZ|NUM
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?|What|What Nobel|WP|NNP|VBN|HUM
What woman has carried the most multiple births , twins , triplets , etc. , ?|What|What woman|WDT|NN|VBN|HUM
How many minutes were there on the original GE College Bowl clock ?|How|How many|WRB|JJ|VBD|NUM
What is the average time it takes for a male to ejaculate ?|What|What is|WP|VBZ|VBZ|NUM
What is website of the International Court of Justice ?|What|What is|WP|VBZ|VBZ|LOC
Where are 8 of the 10 highest mountains in the world ?|Where|Where are|WRB|VBP|VBP|LOC
Where can I look at a perpetual calendar ?|Where|Where can|WRB|MD|VB|LOC
How many astronauts have been on the moon ?|How|How many|WRB|JJ|VBN|NUM
In what year did the Bounty mutiny happen ?|what|what year|WDT|NN|VB|NUM
What is the only substance that gives food its '' taste '' when eaten ?|when|What is that gives when eaten|WRB|VBN|VBZ|ENTY
How do you reference a website ?|How|How do|WRB|VBP|VB|DESC
What is pandoro ?|What|What is|WP|VBZ|VBZ|DESC
What do the letters ZIP stand for in the phrase '' ZIP code '' ?|What|What do|WP|VBP|NN|ABBR
Which Bourbon king was restored to the French throne during Napoleon's abdication ?|Which|Which Bourbon|WDT|NNP|VBN|HUM
What is one of the cities that the University of Minnesota is located in ?|that|What is that the|WDT|DT|VBZ|LOC
What are the words to '' My Way '' written by Paul Anka ?|What|What are|WP|VBP|VBP|DESC
How do I install a tile floor ?|How|How do|WRB|VBP|VB|DESC
What is the quickest and easiest way to get nail polish out of clothes ?|What|What is|WP|VBZ|VBZ|ENTY
Why was the zipper invented ?|Why|Why was|WRB|VBD|VBD|DESC
What's the No. 1 killer in industrialized countries ?|What|What 's|WP|VBZ|VBZ|ENTY
What daughter of Henry VIII and Anne Boleyn became queen of England ?|What|What daughter|WDT|NN|VBD|HUM
How did ' stat ' come to be used as an expression for quickly ?|How|How did|WRB|VBD|VB|DESC
What's the most common nickname of U.S. college football teams ?|What|What 's|WP|VBZ|VBZ|HUM
What's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?|What|What 's|WP|VBZ|VBZ|DESC
What is the most useful site on the Internet ?|What|What is|WP|VBZ|VBZ|LOC
What is the world's highest peak ?|What|What is|WP|VBZ|VBZ|LOC
What was a Mae West on a World War II battleship ?|What|What was|WP|VBD|VBD|DESC
What comedienne upstaged Dwight D. Eisenhower's first inauguration by giving birth to her first child ?|What|What comedienne|WDT|NN|VBD|HUM
What are amicable numbers ?|What|What are|WP|VBP|VBP|DESC
When were the Olympic Games in which Nadia Comaneci became popular played ?|which|When were which Nadia|WDT|NNP|VBD|NUM
Where is Hearst Castle , built by publisher William Randolph Hearst ?|Where|Where is|WRB|VBZ|VBZ|LOC
What's the largest U.S. city on the Great Lakes ?|What|What 's|WP|VBZ|VBZ|LOC
Who sang about Desmond and Molly Jones ?|Who|Who sang|WP|VBD|VBD|HUM
What magazine gives us the cream , not the skim ?|What|What magazine|WDT|NN|VBZ|ENTY
What does the technique called '' cold fusion '' produce ?|What|What does|WP|VBZ|VBZ|ENTY
What costume designer decided that Michael Jackson should only wear one glove ?|What|What costume|WDT|JJ|VBD|HUM
What meter did Shakespeare use in writing : '' To be , or not to be , that is the question.. . '' ?|What|What meter|WDT|NN|NN|ENTY
How many rows of sprocket holes does a roll of 35-millimeter film have ?|How|How many|WRB|JJ|VBP|NUM
What is the goat population of the world ?|What|What is|WP|VBZ|VBZ|NUM
What company was the original sponsor of TV's Superman ?|What|What company|WDT|NN|VBD|HUM
What term does a Czech use to describe a Pole ?|What|What term|WDT|NN|VBZ|ENTY
What sea separates Naples and Algiers ?|What|What sea|WDT|NN|VBZ|LOC
How many lawyers are there in the state of New Jersey ?|How|How many|WRB|JJ|VBP|NUM
What are the most common elements in seawater ?|What|What are|WP|VBP|VBP|ENTY
What is the origin of the ethnic category '' caucasian '' ?|What|What is|WP|VBZ|VBZ|DESC
What is a stratocaster ?|What|What is|WP|VBZ|VBZ|DESC
What kind of science is cosmology ?|What|What kind|WDT|NN|VBZ|ENTY
What's the second-lightest element ?|What|What 's|WP|VBZ|VBZ|ENTY
What do you call a '' twirl '' in ballet ?|What|What do|WP|VBP|VB|ENTY
What is the brand name of daminozide ?|What|What is|WP|VBZ|VBZ|ENTY
What is the former name of Zimbabwe ?|What|What is|WP|VBZ|VBZ|ENTY
What National Basketball Association superstar told his story in Giant Steps ?|What|What National|WP|NNP|VBD|HUM
What animals did The Amazing Three masquerade as ?|What|What animals|WDT|NNS|VBD|ENTY
How did the bikini bathing suite get its name ?|How|How did|WRB|VBD|VBP|DESC
When did Fraze get his first patent for the pull-tab can ?|When|When did|WRB|VBD|VB|NUM
How many games are played in a five-team round-robin tournament ?|How|How many|WRB|JJ|VBN|NUM
Who developed the first polio vaccine ?|Who|Who developed|WP|VBD|VBD|HUM
Who made the first gas engine ?|Who|Who made|WP|VBD|VBD|HUM
What country claimed Rubens , Van Dyck and Bruegel as citizens ?|What|What country|WDT|NN|VBD|LOC
What civil war was fought between 1936 and 1939 ?|What|What civil|WDT|JJ|VBN|ENTY
How many questions do you have on your database ?|How|How many|WRB|JJ|VB|NUM
How do clouds form ?|How|How do|WRB|VBP|VB|DESC
Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?|Where|Where can|WRB|MD|VB|LOC
What character did Tex Avery first create upon arriving at MGM ?|What|What character|WDT|NN|VB|HUM
When was the Triangle Shirtwaist fire ?|When|When was|WRB|VBD|VBD|NUM
What Asian spiritual and political leader was married at the age of 13 ?|What|What Asian|WP|JJ|VBN|HUM
Where is Ocho Rios ?|Where|Where is|WRB|VBZ|VBZ|LOC
What is the half-life of P-32 ?|What|What is|WP|VBZ|VBZ|DESC
What ocean does Mauritania border ?|What|What ocean|WDT|NN|VBZ|LOC
Why do pressure cookers save time in the kitchen ?|Why|Why do|WRB|VBP|VBP|DESC
Why are there 12 people on a jury in criminal cases ?|Why|Why are|WRB|VBP|VBP|DESC
What do Christian Scientists believe in ?|What|What do|WP|VBP|VBP|DESC
What World War I battle saw 6 , 0 troops killed in one day ?|What|What World|WP|NNP|VBD|ENTY
What country is Kosovo a part of ?|What|What country|WDT|NN|VBZ|LOC
Tell me what city the Kentucky Horse Park is near ?|what|what city|WDT|NN|VB|LOC
What computer operating system is on the most computers ?|What|What computer|WDT|NN|VBZ|ENTY
What is Bill Gross's email address ?|What|What is|WP|VBZ|VBZ|LOC
What is the economic impact of unemployment on the economy ?|What|What is|WP|VBZ|VBZ|DESC
What do the letters D.C. stand for in Washington , D.C. ?|What|What do|WP|VBP|VBP|ABBR
What animals can live the longest without food ?|What|What animals|WDT|NNS|VB|ENTY
What English queen had seventeen children ?|What|What English|WP|JJ|VBD|HUM
What is the approximate population of Las Vegas , N.M ?|What|What is|WP|VBZ|VBZ|NUM
How much does the President get paid ?|How|How much|WRB|JJ|VBN|NUM
What two baseball players make up the battery ?|What|What two|WP|CD|VBP|HUM
What's the largest letter in Salvador Dali's signature ?|What|What 's|WP|VBZ|VBZ|ENTY
What does an irate car owner call iron oxide ?|What|What does|WP|VBZ|VBP|ENTY
Of children between the ages of two and eleven , what percentage watch '' The Simpsons '' ?|what|what percentage|WDT|NN|NN|NUM
What's the northernmost U.S. state apart from Alaska ?|What|What 's|WP|VBZ|VBZ|LOC
Who sells Viagra ?|Who|Who sells|WP|VBZ|VBZ|HUM
What musical instrument did Prewitt play in James Jones's From Here to Eternity ?|What|What musical|WDT|JJ|VB|ENTY
What is the Home Rule Act ?|What|What is|WP|VBZ|VBZ|DESC
What building are British monarchs crowned in ?|What|What building|WDT|NN|VBP|LOC
What are Bellworts ?|What|What are|WP|VBP|VBP|DESC
Who was Darius ?|Who|Who was|WP|VBD|VBD|HUM
What movie told of Anna Anderson's claim to be a Russian czar's daughter ?|What|What movie|WP|NN|VBD|ENTY
Who did Dita Beard work for ?|Who|Who did|WP|VBD|VB|HUM
What kind of creature is a coot ?|What|What kind|WDT|NN|VBZ|ENTY
Name the university of which Woodrow Wilson was president .|which|which Woodrow|WDT|NNP|VB|HUM
What country was first to use the airplane as a weapon of war , against the Turks in Libya ?|What|What country|WDT|NN|VBD|LOC
What university was Woodrow Wilson President of ?|What|What university|WDT|NN|VBD|HUM
What is a fear of disease ?|What|What is|WP|VBZ|VBZ|ENTY
What kind of meat is Fray Bentos synonymous with ?|What|What kind|WDT|NN|VBZ|ENTY
What did Mr. Magoo flog on TV for General Electric ?|What|What did|WP|VBD|VB|ENTY
What are the words to the Canadian National anthem ?|What|What are|WP|VBP|VBP|DESC
What is the name of the Jewish alphabet ?|What|What is|WP|VBZ|VBZ|ENTY
Who served as inspiration for the schoolteacher portrayed by Robin Williams in '' Dead Poets Society '' ?|Who|Who served|WP|VBD|VBD|HUM
What is Columbia Tristar's phone number ?|What|What is|WP|VBZ|VBZ|NUM
Name the five positions who are in the line of succession to the presidency .|who|who are|WP|VBP|VB|HUM
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?|Which|Which one|WDT|CD|VB|HUM
Who is the best known villain of the 165 Gunpowder Plot ?|Who|Who is|WP|VBZ|VBZ|HUM
What is the capital of Burkina Faso ?|What|What is|WP|VBZ|VBZ|LOC
What continent is Bolivia on ?|What|What continent|WDT|NN|VBZ|LOC
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?|Why|Why was|WRB|VBD|VBD|DESC
Who killed more people , Hitler or Stalin ?|Who|Who killed|WP|VBD|VBD|HUM
What caused Shea & Gould to close their L.A. office ?|What|What caused|WP|VBD|VBD|DESC
What's the only mammal that can 't jump ?|that|What 's that can|WDT|MD|VBZ|ENTY
What U.S. state has the most blondes ?|What|What U.S.|WP|NNP|VBZ|LOC
What war saw battles at Parrot's Beak and Black Virgin ?|What|What war|WDT|NN|VBD|ENTY
What was the U.S. highway death toll in 1969 ?|What|What was|WP|VBD|VBD|NUM
What does the name Kelly mean ?|What|What does|WP|VBZ|VB|DESC
What is a phalanx ?|What|What is|WP|VBZ|VBZ|DESC
What mustachioed comedian portrayed Frankie in North to Alaska ?|What|What mustachioed|WDT|JJ|VBD|HUM
What does each of the utilities cost in Monopoly ?|What|What does|WP|VBZ|VBN|NUM
What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?|What|What actor|WDT|NN|VBN|HUM
What does e.g. stand for ?|What|What does|WP|VBZ|VB|ABBR
What is the name of the medical condition in which a baby is born without a brain ?|which|What is which a|WDT|DT|VBZ|ENTY
How do storms form ?|How|How do|WRB|VBP|VB|DESC
Who is Nicolo Paganini ?|Who|Who is|WP|VBZ|VBZ|HUM
What city is often called The Insurance Capital of the World ?|What|What city|WDT|NN|VBN|LOC
What are the three animals in Sheila Burnford's The Incredible Journey ?|What|What are|WP|VBP|VBP|ENTY
Who portrayed Dracula in Hammer Studios ' films ?|Who|Who portrayed|WP|VBD|VBD|HUM
When were fish first believed to be found on earth ?|When|When were|WRB|VBD|VBN|NUM
What President's favorite Biblical quotation was : '' Come now , and let us reason together '' .|What|What President|WP|NNP|VBD|HUM
How many elevators do you ride to reach the top floor of the Empire State Building ?|How|How many|WRB|JJ|VB|NUM
Name the food company that traveled to Soviet Georgia to film a series of ads .|that|that traveled|WDT|VBD|VB|HUM
What country was Sir Edmund Hillary born in ?|What|What country|WDT|NN|VBD|LOC
What's an infant seal called ?|What|What 's|WP|VBZ|VBZ|ENTY
What was the proper Laugh-In respones to : '' Say goodnight , Dick '' ?|What|What was|WP|VBD|VBD|DESC
What city was John F. Kennedy nominated for president in ?|What|What city|WDT|NN|VBD|LOC
How long does a dog sleep ?|How|How long|WRB|RB|NN|NUM
What 1963 Joseph L. Mankiewicz film cost $28 million ?|What|What 1963|WP|CD|VBD|ENTY
What Japanese electronics company was named for a coastal city northeast of Tokyo ?|What|What Japanese|WDT|JJ|VBN|HUM
What can you be fined for having a dog on a beach ?|What|What can|WP|MD|VBN|NUM
Where did the Battle of the Bulge take place ?|Where|Where did|WRB|VBD|VB|LOC
How much will the California be in the year 2000 ?|How|How much|WRB|JJ|VB|NUM
What mystery writer penned '' ...the glory that was Greece , and the grandeur that was Rome '' ?|What|What mystery|WDT|NN|VBN|HUM
What state full of milk and honey was the destination in The Grapes of Wrath ?|What|What state|WDT|NN|VBD|LOC
What is the tallest building in Japan ?|What|What is|WP|VBZ|VBZ|LOC
Where is Sinn Fein's headquarters ?|Where|Where is|WRB|VBZ|VBZ|LOC
What are some important events of the 1830's ?|What|What are|WP|VBP|VBP|ENTY
The Iraqis launched their attack on Kuwait on what day ?|what|what day|WDT|NN|VBD|NUM
What letter adorns the flag of Rwanda ?|What|What letter|WDT|NN|VBZ|ENTY
What did 8 , CD NNS VBP TO VB NNP POS NN .|What|What did|WP|VBD|NNP|ENTY
What is God ?|What|What is|WP|VBZ|VBZ|DESC
What country's northernmost city is Darwin ?|What|What country|WP|NN|VBZ|LOC
What sound does Olympia , Washington , overlook ?|What|What sound|WDT|NN|VB|LOC
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?|What|What TV|WP|NN|VBD|ENTY
What Kentucky city calls itself The Horse Center of America ?|What|What Kentucky|WP|NNP|VBZ|LOC
How many penny-farthings are there on a Trivial Pursuit game board ?|How|How many|WRB|JJ|VBP|NUM
What's the most abundant element in the sun ?|What|What 's|WP|VBZ|VBZ|ENTY
What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?|where|What European where the|WRB|DT|VBD|LOC
What U.S. state is Dixville Notch in ?|What|What U.S.|WP|NNP|VBZ|LOC
Where was the Cisalpine Republic , 1797-185 , ?|Where|Where was|WRB|VBD|VBD|LOC
What is the largest shopping mall in the world ?|What|What is|WP|VBZ|VBZ|LOC
What is the protagonist's name in Dostoevski's '' The Idiot '' ?|What|What is|WP|VBZ|VBZ|HUM
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?|What|What penalty|WDT|NN|VBZ|ENTY
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?|What|What presidential|WDT|JJ|VBD|HUM
What is a meerkat ?|What|What is|WP|VBZ|VBZ|DESC
Who was Jean Nicolet ?|Who|Who was|WP|VBD|VBD|HUM
What kind of animal was Winnie the Pooh ?|What|What kind|WDT|NN|VBD|ENTY
Which of these are authors ?|Which|Which of|WDT|IN|VBP|HUM
What's the international radio code word for the letter B ?|What|What 's|WP|VBZ|VBZ|ENTY
Who was the original Humpty Dumpty ?|Who|Who was|WP|VBD|VBD|HUM
What is cache memory ?|What|What is|WP|VBZ|VBZ|DESC
Aspartame is also known as what ?|what|what ?|WP|.|VBN|ENTY
Where is the location of the Orange Bowl ?|Where|Where is|WRB|VBZ|VBZ|LOC
When is President Nixon's birthday ?|When|When is|WRB|VBZ|VBZ|NUM
What is the origin of the midwest slang , ' you 're darn tootin ' ?|What|What is|WP|VBZ|VBP|DESC
What are the seven seas ?|What|What are|WP|VBP|VBP|LOC
What does IBM stand for ?|What|What does|WP|VBZ|VB|ABBR
What is the difference between jazz and blues ?|What|What is|WP|VBZ|VBZ|DESC
What is the C programming language ?|What|What is|WP|VBZ|VBZ|DESC
What's the name of Popeye's adopted son ?|What|What 's|WP|VBZ|VBZ|HUM
Who invented the vacuum cleaner ?|Who|Who invented|WP|VBD|VBD|HUM
What is a ' borrow pit ' ?|What|What is|WP|VBZ|VBZ|DESC
What 2th-century fictional character attends Pencey Prep School ?|What|What 2th|WDT|JJ|VBZ|HUM
How many people in the USA say their number one source of information is the newspaper ?|How|How many|WRB|JJ|VBP|NUM
Who does Shakespeare's Antonio borrow 3 , 0 ducats from ?|Who|Who does|WP|VBZ|VBP|HUM
Which country is known as '' Big Bear '' ?|Which|Which country|WDT|NN|VBN|LOC
What '' melts in your mouth , not in your hands '' .|What|What ''|WP|''|VBZ|ENTY
How many times a day should you take a prescription marked '' q.i.d . '' ?|How|How many|WRB|JJ|VB|NUM
What is the origin of the atom ?|What|What is|WP|VBZ|VBZ|DESC
Who is the Voyager project manager ?|Who|Who is|WP|VBZ|VBZ|HUM
Which radio stations air the Jim Bohannon Radio Talk Show ?|Which|Which radio|WDT|NN|VBP|HUM
What two commanders directed the forces in the Battle of El Alamein ?|What|What two|WP|CD|VBD|HUM
How do I e-mail someone at aol.com from yahoo.com ?|How|How do|WRB|VBP|NN|DESC
Who replies '' I know '' to Princess Leia's confession '' I love you '' in The Empire Strikes Back ?|Who|Who replies|WP|VBZ|VBZ|HUM
What is the meaning of the name Ella ?|What|What is|WP|VBZ|VBZ|DESC
What's the home of the Rockettes ?|What|What 's|WP|VBZ|VBZ|LOC
Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?|Where|Where can|WRB|MD|VB|LOC
What is the name of the firm that makes Spumante ?|that|What is that makes|WDT|VBZ|VBZ|HUM
What sport is played on the largest field ?|What|What sport|WDT|NN|VBN|ENTY
Who won the 1967 Academy Award for Best Actor ?|Who|Who won|WP|VBD|VBD|HUM
What is after death ?|What|What is|WP|VBZ|VBZ|ENTY
What was football star Elroy Hirsch's nickname ?|What|What was|WP|VBD|VBD|HUM
What singer sings '' Oh Boy '' ?|What|What singer|WDT|NN|VBZ|HUM
How much pizza do Americans eat in a day ?|How|How much|WRB|JJ|VB|NUM
What is the website for the USA journal ?|What|What is|WP|VBZ|VBZ|LOC
What army's motto is Blood and Fire ?|What|What army|WP|NN|VBZ|HUM
What kind of patent did Ermal Fraze get in 1963 ?|What|What kind|WDT|NN|VBP|ENTY
What are you hearing when you put a seashell to your ear ?|when|What are when you|WRB|PRP|VBG|DESC
Why are haunted houses popular ?|Why|Why are|WRB|VBP|JJ|DESC
Which gender has bigger thighs ?|Which|Which gender|WDT|NN|VBZ|ENTY
What U.S. state has the second-longest coastline ?|What|What U.S.|WP|NNP|VBZ|LOC
What state's home to the Buffalo Bill Historical Center ?|What|What state|WDT|NN|NN|LOC
How fast do cheetahs run ?|How|How fast|WRB|RB|VB|NUM
What is Ray Bradbury's illustrated man illustrated with ?|What|What is|WP|VBZ|VBZ|ENTY
How fast is a 45Mhz processor ?|How|How fast|WRB|JJ|VBZ|NUM
What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?|What|What kind|WDT|NN|VBD|ENTY
What count did Alexandre Dumas write about ?|What|What count|WP|NN|VB|HUM
What are the odds of giving birth to twins ?|What|What are|WP|VBP|VBP|NUM
What is the largest natural lake in Pennsylvania ?|What|What is|WP|VBZ|VBZ|LOC
How far is London UK from California ?|How|How far|WRB|RB|VBZ|NUM
What was the species of Winnie the Pooh ?|What|What was|WP|VBD|VBD|ENTY
What is the virus HIV ?|What|What is|WP|VBZ|VBZ|DESC
How many years old is Benny Carter ?|How|How many|WRB|JJ|VBZ|NUM
What Hermann Hesse book gave its name to a rock group ?|What|What Hermann|WP|NNP|VBD|ENTY
Where does the Santa Fe Trail begin and end ?|Where|Where does|WRB|VBZ|VB|LOC
What book is the follow-up to Future Shock ?|What|What book|WDT|NN|VBZ|ENTY
What African animals are known as The Big Five ?|What|What African|WDT|JJ|VBN|ENTY
What is the alphabet for Latin ?|What|What is|WP|VBZ|VBZ|ENTY
What is the fear of frogs ?|What|What is|WP|VBZ|VBZ|ENTY
Which city in Canada is the least-populated ?|Which|Which city|WDT|NN|VBZ|LOC
How old is Stevie Wonder ?|How|How old|WRB|JJ|VBZ|NUM
Who was the first Taiwanese President ?|Who|Who was|WP|VBD|VBD|HUM
Who is Luke Skywalker's father ?|Who|Who is|WP|VBZ|VBZ|HUM
What does a dipsomaniac crave ?|What|What does|WP|VBZ|VB|ENTY
What is the definition of the term '' weapons system '' ?|What|What is|WP|VBZ|VBZ|DESC
What are Christopher Marlowe's and Shakespeare's literary contributions to English literature ?|What|What are|WP|VBP|VBP|DESC
What is Nero Wolfe's favorite drink during office hours ?|What|What is|WP|VBZ|VBZ|ENTY
What is the first personal computer company ?|What|What is|WP|VBZ|VBZ|HUM
What is the most efficient way to start a barbeque ?|What|What is|WP|VBZ|VBZ|ENTY
Who was Jane Goodall ?|Who|Who was|WP|VBD|VBD|HUM
Why are there Braille things on the ATM machines that people drive through ?|that|Why are that people|WDT|NNS|VBP|DESC
Where is the Isle of Man ?|Where|Where is|WRB|VBZ|VBZ|LOC
What book did Aaron Hass write ?|What|What book|WDT|NN|VB|ENTY
What was the death toll at the eruption of Mount Pinatubo ?|What|What was|WP|VBD|VBD|NUM
When will the millennium officially begin ?|When|When will|WRB|MD|VB|NUM
Who created the comic strip , '' Garfield '' ?|Who|Who created|WP|VBD|VBD|HUM
Which Vietnamese terrorist is now a UN delegate in Doonesbury ?|Which|Which Vietnamese|WDT|JJ|VBZ|HUM
What is real time processing ?|What|What is|WP|VBZ|VBZ|DESC
What do we call the imaginary line along the top of the Rocky Mountains ?|What|What do|WP|VBP|VB|LOC
What country's capital is Lagos ?|What|What country|WP|NN|VBZ|LOC
Where does Ray Bradbury's Chronicles take place ?|Where|Where does|WRB|VBZ|VBP|LOC
Who is the current prime minister and president of Russia ?|Who|Who is|WP|VBZ|VBZ|HUM
Who established a Viking colony in Greenland about 985 ?|Who|Who established|WP|VBD|VBD|HUM
What was the distinguishing mark on the '' Little Rascals '' dog ?|What|What was|WP|VBD|VBD|ENTY
What is the latitude and longitude of El Paso , Texas ?|What|What is|WP|VBZ|VBZ|NUM
