#Question|QType|F-POS|F-DEP|F-ENT|F-SHAPE|F-TXT|Class
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NNPS|compound|NON|Xxxxx|Headquarters|F
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NNP|compound|ORG|X.X.|U.S.|F
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NNP|compound|ORG|Xxxxx|European|F
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NNP|pobj|ORG|Xxxxx|Command|F
What is Nebraska's most valuable resource ?|ENTY|NNP|poss|GPE|Xxxxx|Nebraska|F
What is Nebraska's most valuable resource ?|ENTY|RBS|advmod|NON|xxxx|most|NF
What is Nebraska's most valuable resource ?|ENTY|JJ|amod|NON|xxxx|valuable|F
What is Nebraska's most valuable resource ?|ENTY|NN|nsubj|NON|xxxx|resource|F
How many species of the Great White shark are there ?|NUM|JJ|amod|NON|xxxx|many|NF
How many species of the Great White shark are there ?|NUM|NNS|nsubj|NON|xxxx|species|F
How many species of the Great White shark are there ?|NUM|NNP|compound|NON|Xxxxx|Great|F
How many species of the Great White shark are there ?|NUM|NNP|compound|NON|Xxxxx|White|F
How many species of the Great White shark are there ?|NUM|NN|pobj|NON|xxxx|shark|F
How many species of the Great White shark are there ?|NUM|RB|advmod|NON|xxxx|there|NF
What is the origin of head lice ?|DESC|NN|nsubj|NON|xxxx|origin|F
What is the origin of head lice ?|DESC|NN|compound|NON|xxxx|head|F
What is the origin of head lice ?|DESC|NNS|pobj|NON|xxxx|lice|F
What is the nickname for the state of Mississippi ?|LOC|NN|nsubj|NON|xxxx|nickname|F
What is the nickname for the state of Mississippi ?|LOC|NN|pobj|NON|xxxx|state|F
What is the nickname for the state of Mississippi ?|LOC|NNP|pobj|GPE|Xxxxx|Mississippi|F
What was the first domesticated bird ?|ENTY|JJ|amod|ORDINAL|xxxx|first|F
What was the first domesticated bird ?|ENTY|VBN|amod|NON|xxxx|domesticated|F
What was the first domesticated bird ?|ENTY|NN|nsubj|NON|xxxx|bird|F
How many villi are found in the small intestine ?|NUM|JJ|amod|NON|xxxx|many|NF
How many villi are found in the small intestine ?|NUM|NNS|nsubjpass|NON|xxxx|villi|F
How many villi are found in the small intestine ?|NUM|VBP|auxpass|NON|xxx|are|NF
How many villi are found in the small intestine ?|NUM|JJ|amod|NON|xxxx|small|F
How many villi are found in the small intestine ?|NUM|NN|pobj|NON|xxxx|intestine|F
What country did King Wenceslas rule ?|LOC|NN|dobj|NON|xxxx|country|F
What country did King Wenceslas rule ?|LOC|VBD|aux|NON|xxx|did|NF
What country did King Wenceslas rule ?|LOC|NNP|compound|LOC|Xxxx|King|F
What country did King Wenceslas rule ?|LOC|NNP|compound|LOC|Xxxxx|Wenceslas|F
What is a fear of shadows ?|ENTY|NN|attr|NON|xxxx|fear|F
What is a fear of shadows ?|ENTY|NNS|pobj|NON|xxxx|shadows|F
Who were the five Marx brothers ?|HUM|CD|nummod|CARDINAL|xxxx|five|F
Who were the five Marx brothers ?|HUM|NNP|compound|PERSON|Xxxx|Marx|F
Who were the five Marx brothers ?|HUM|NNS|attr|NON|xxxx|brothers|F
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|NN|npadvmod|NON|xxxx|year|F
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|VBD|auxpass|NON|xxx|was|NF
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|NNP|compound|GPE|Xxx|New|F
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|NNP|nsubj|GPE|Xxxxx|Zealand|F
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|NNP|compound|ORG|XXXX|ANZUS|F
In which year was New Zealand excluded from the ANZUS alliance ?|NUM|NN|pobj|NON|xxxx|alliance|F
When did CNN begin broadcasting ?|NUM|VBD|aux|NON|xxx|did|NF
When did CNN begin broadcasting ?|NUM|NNP|nsubj|ORG|XXX|CNN|F
When did CNN begin broadcasting ?|NUM|VBG|xcomp|NON|xxxx|broadcasting|F
What causes the body to shiver in cold temperatures ?|DESC|NN|nsubj|NON|xxxx|body|F
What causes the body to shiver in cold temperatures ?|DESC|VB|ccomp|NON|xxxx|shiver|F
What causes the body to shiver in cold temperatures ?|DESC|JJ|amod|NON|xxxx|cold|F
What causes the body to shiver in cold temperatures ?|DESC|NNS|pobj|NON|xxxx|temperatures|F
What are bear and bull markets ?|DESC|JJ|acomp|NON|xxxx|bear|F
What are bear and bull markets ?|DESC|NN|conj|NON|xxxx|bull|F
What are bear and bull markets ?|DESC|NNS|attr|NON|xxxx|markets|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NNP|compound|NON|X.X.X.|J.R.R.|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NNP|compound|PERSON|Xxxxx|Tolkien|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NN|nsubj|NON|xxxx|book|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NNP|compound|PERSON|Xxxxx|Bilbo|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NNP|dobj|PERSON|Xxxxx|Baggins|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|JJ|amod|NON|xxxx|central|F
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|ENTY|NN|pobj|NON|xxxx|character|F
What is '' dew point '' ?|DESC|NN|compound|NON|xxx|dew|F
What is '' dew point '' ?|DESC|NN|nsubj|NON|xxxx|point|F
What is the meaning of Jesus ?|DESC|NN|nsubj|NON|xxxx|meaning|F
What is the meaning of Jesus ?|DESC|NNP|pobj|NON|Xxxxx|Jesus|F
What company's logo is a '' W '' in a circle ?|HUM|NN|poss|NON|xxxx|company|F
What company's logo is a '' W '' in a circle ?|HUM|NN|nsubj|NON|xxxx|logo|F
What company's logo is a '' W '' in a circle ?|HUM|NNP|attr|NON|X|W|F
What company's logo is a '' W '' in a circle ?|HUM|NN|pobj|NON|xxxx|circle|F
What is the definition of a cascade ?|DESC|NN|nsubj|NON|xxxx|definition|F
What is the definition of a cascade ?|DESC|NN|pobj|NON|xxxx|cascade|F
When did Rococo painting and architecture flourish ?|NUM|VBD|aux|NON|xxx|did|NF
When did Rococo painting and architecture flourish ?|NUM|NNP|nsubj|ORG|Xxxxx|Rococo|F
When did Rococo painting and architecture flourish ?|NUM|NN|nmod|NON|xxxx|painting|F
When did Rococo painting and architecture flourish ?|NUM|NN|conj|NON|xxxx|architecture|F
What country's national passenger rail system is called Via ?|LOC|NN|poss|NON|xxxx|country|F
What country's national passenger rail system is called Via ?|LOC|JJ|amod|NON|xxxx|national|F
What country's national passenger rail system is called Via ?|LOC|NN|compound|NON|xxxx|passenger|F
What country's national passenger rail system is called Via ?|LOC|NN|compound|NON|xxxx|rail|F
What country's national passenger rail system is called Via ?|LOC|NN|nsubjpass|NON|xxxx|system|F
What country's national passenger rail system is called Via ?|LOC|VBZ|auxpass|NON|xx|is|F
What country's national passenger rail system is called Via ?|LOC|NNP|oprd|FAC|Xxx|Via|F
Who invented Make-up ?|HUM|VB|xcomp|NON|Xxxx|Make|F
What is the origin of the word '' attic '' ?|DESC|NN|nsubj|NON|xxxx|origin|F
What is the origin of the word '' attic '' ?|DESC|NN|pobj|NON|xxxx|word|F
What is the origin of the word '' attic '' ?|DESC|NN|appos|NON|xxxx|attic|F
What did Delilah do to Samson's hair ?|DESC|VBD|aux|NON|xxx|did|NF
What did Delilah do to Samson's hair ?|DESC|NNP|nsubj|PERSON|Xxxxx|Delilah|F
What did Delilah do to Samson's hair ?|DESC|NNP|poss|PERSON|Xxxxx|Samson|F
What did Delilah do to Samson's hair ?|DESC|NN|pobj|NON|xxxx|hair|F
What kind of animals were in the Paleozoic era ?|ENTY|NN|attr|NON|xxxx|kind|F
What kind of animals were in the Paleozoic era ?|ENTY|NNS|pobj|NON|xxxx|animals|F
What kind of animals were in the Paleozoic era ?|ENTY|NNP|compound|GPE|Xxxxx|Paleozoic|F
What kind of animals were in the Paleozoic era ?|ENTY|NN|pobj|NON|xxx|era|F
Which of the following was Rhodes Scholar ?|HUM|VBG|pobj|NON|xxxx|following|F
Which of the following was Rhodes Scholar ?|HUM|NNP|compound|PERSON|Xxxxx|Rhodes|F
Which of the following was Rhodes Scholar ?|HUM|NNP|attr|PERSON|Xxxxx|Scholar|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|RB|advmod|NON|xxx|now|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|JJ|amod|NON|xxxx|defunct|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|JJ|amod|NON|xxxx|comic|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|NN|compound|NON|xxxx|book|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|NN|dobj|NON|xxxx|team|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|VBN|acl|NON|xxxx|known|F
Who comprised the now-defunct comic book team known as the Champions ?|HUM|NNPS|pobj|NON|Xxxxx|Champions|F
How do you make a paintball ?|DESC|VBP|aux|NON|xx|do|NF
How do you make a paintball ?|DESC|NN|dobj|NON|xxxx|paintball|F
What U.S. state is Fort Knox in ?|LOC|NNP|compound|GPE|X.X.|U.S.|F
What U.S. state is Fort Knox in ?|LOC|NN|nsubj|NON|xxxx|state|F
What U.S. state is Fort Knox in ?|LOC|NNP|compound|FAC|Xxxx|Fort|F
What U.S. state is Fort Knox in ?|LOC|NNP|nsubj|FAC|Xxxx|Knox|F
What is a female rabbit called ?|ENTY|JJ|amod|NON|xxxx|female|F
What is a female rabbit called ?|ENTY|NN|attr|NON|xxxx|rabbit|F
What is a female rabbit called ?|ENTY|VBN|acl|NON|xxxx|called|F
Where is the highest point in Japan ?|LOC|JJS|amod|NON|xxxx|highest|F
Where is the highest point in Japan ?|LOC|NN|nsubj|NON|xxxx|point|F
Where is the highest point in Japan ?|LOC|NNP|pobj|GPE|Xxxxx|Japan|F
Where do chihuahuas come from ?|DESC|VBP|aux|NON|xx|do|NF
Where do chihuahuas come from ?|DESC|VB|nsubj|NON|xxxx|chihuahuas|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|VBZ|aux|NON|xxxx|does|NF
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NNP|compound|PERSON|Xxxxx|Barney|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NNP|nsubj|PERSON|Xxxxx|Rubble|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NN|pobj|NON|xxxx|work|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|VBZ|advcl|NON|xxxx|drops|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NNP|dobj|PERSON|Xxxx|Fred|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NNP|pobj|NON|Xxxxx|Flintstones|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NN|compound|NON|xxxx|cartoon|F
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|LOC|NN|npadvmod|NON|xxxx|series|F
What are the world's four oceans ?|LOC|NN|poss|NON|xxxx|world|F
What are the world's four oceans ?|LOC|CD|nummod|CARDINAL|xxxx|four|F
What are the world's four oceans ?|LOC|NNS|nsubj|NON|xxxx|oceans|F
What's the only work by Michelangelo that bears his signature ?|ENTY|JJ|amod|NON|xxxx|only|F
What's the only work by Michelangelo that bears his signature ?|ENTY|NN|nsubj|NON|xxxx|work|F
What's the only work by Michelangelo that bears his signature ?|ENTY|NNP|pobj|GPE|Xxxxx|Michelangelo|F
What's the only work by Michelangelo that bears his signature ?|ENTY|VBZ|relcl|NON|xxxx|bears|F
What's the only work by Michelangelo that bears his signature ?|ENTY|PRP$|poss|NON|xxx|his|NF
What's the only work by Michelangelo that bears his signature ?|ENTY|NN|dobj|NON|xxxx|signature|F
What is the largest snake in the world ?|ENTY|JJS|amod|NON|xxxx|largest|F
What is the largest snake in the world ?|ENTY|NN|nsubj|NON|xxxx|snake|F
What is the largest snake in the world ?|ENTY|NN|pobj|NON|xxxx|world|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|NN|nsubj|NON|xxxx|medium|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|VBZ|auxpass|NON|xx|is|NF
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|NNP|compound|PERSON|Xxxxx|Stuart|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|NNP|nsubj|PERSON|Xxxxx|Hamblen|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|VB|xcomp|NON|xx|be|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|JJ|amod|ORDINAL|xxxx|first|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|NN|compound|NON|xxxx|singing|F
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|ENTY|NN|attr|NON|xxxx|cowboy|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NN|pobj|NON|Xxxxx|Internet|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|MD|aux|NON|xxx|can|NF
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NN|compound|NON|xxxx|song|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NNS|nsubj|NON|xxxx|lyrics|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|VBP|ccomp|NON|xxxx|database|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|JJ|amod|NON|xxxx|similar|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NNP|compound|ORG|Xxxxx|International|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NNP|compound|ORG|Xxxxx|Lyrics|F
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|LOC|NNP|pobj|ORG|Xxxxx|Server|F
How much money does a back injury lawsuit get ?|NUM|JJ|amod|NON|xxxx|much|NF
How much money does a back injury lawsuit get ?|NUM|NN|nsubj|NON|xxxx|money|F
How much money does a back injury lawsuit get ?|NUM|VBZ|aux|NON|xxxx|does|NF
How much money does a back injury lawsuit get ?|NUM|RB|amod|NON|xxxx|back|F
How much money does a back injury lawsuit get ?|NUM|NN|compound|NON|xxxx|injury|F
How much money does a back injury lawsuit get ?|NUM|NN|dobj|NON|xxxx|lawsuit|F
What's the common name for acetylsalicylic acid ?|ENTY|JJ|amod|NON|xxxx|common|F
What's the common name for acetylsalicylic acid ?|ENTY|NN|nsubj|NON|xxxx|name|F
What's the common name for acetylsalicylic acid ?|ENTY|NN|amod|NON|xxxx|acetylsalicylic|F
What's the common name for acetylsalicylic acid ?|ENTY|NN|pobj|NON|xxxx|acid|F
What does the Georgetown '' Hoya '' mean ?|DESC|VBZ|aux|NON|xxxx|does|NF
What does the Georgetown '' Hoya '' mean ?|DESC|NNP|nmod|NON|Xxxxx|Georgetown|F
What does the Georgetown '' Hoya '' mean ?|DESC|NNP|nsubj|NON|Xxxx|Hoya|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|MD|aux|NON|xxx|can|NF
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|NN|dobj|NON|xxxx|list|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|JJ|amod|NON|xxxx|classic|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|NNS|pobj|NON|xxxx|books|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|JJ|amod|ORDINAL|dxx|5th|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|JJ|conj|ORDINAL|dxx|6th|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|NNS|npadvmod|NON|xxxx|graders|F
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|MD|aux|NON|xxxx|should|NF
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|LOC|VB|conj|NON|xxxx|read|NF
Which two products use a tiger as their symbol ?|ENTY|CD|nummod|CARDINAL|xxx|two|F
Which two products use a tiger as their symbol ?|ENTY|NNS|nsubj|NON|xxxx|products|F
Which two products use a tiger as their symbol ?|ENTY|NN|dobj|NON|xxxx|tiger|F
Which two products use a tiger as their symbol ?|ENTY|PRP$|poss|NON|xxxx|their|NF
Which two products use a tiger as their symbol ?|ENTY|NN|pobj|NON|xxxx|symbol|F
How is the election of a new Pope announced to the world ?|DESC|NN|nsubj|NON|xxxx|election|F
How is the election of a new Pope announced to the world ?|DESC|JJ|amod|NON|xxx|new|F
How is the election of a new Pope announced to the world ?|DESC|NNP|pobj|NON|Xxxx|Pope|F
How is the election of a new Pope announced to the world ?|DESC|VBD|acl|NON|xxxx|announced|F
How is the election of a new Pope announced to the world ?|DESC|NN|pobj|NON|xxxx|world|F
How long does it take for your blood to make one complete trip through the body ?|NUM|JJ|advmod|NON|xxxx|long|F
How long does it take for your blood to make one complete trip through the body ?|NUM|VBZ|aux|NON|xxxx|does|NF
How long does it take for your blood to make one complete trip through the body ?|NUM|PRP$|poss|NON|xxxx|your|NF
How long does it take for your blood to make one complete trip through the body ?|NUM|NN|pobj|NON|xxxx|blood|F
How long does it take for your blood to make one complete trip through the body ?|NUM|VB|advcl|NON|xxxx|make|F
How long does it take for your blood to make one complete trip through the body ?|NUM|CD|nummod|NON|xxx|one|F
How long does it take for your blood to make one complete trip through the body ?|NUM|JJ|amod|NON|xxxx|complete|F
How long does it take for your blood to make one complete trip through the body ?|NUM|NN|dobj|NON|xxxx|trip|F
How long does it take for your blood to make one complete trip through the body ?|NUM|NN|pobj|NON|xxxx|body|F
How do chickens have baby chicks ?|DESC|VBP|aux|NON|xx|do|NF
How do chickens have baby chicks ?|DESC|NNS|nsubj|NON|xxxx|chickens|F
How do chickens have baby chicks ?|DESC|NN|compound|NON|xxxx|baby|F
How do chickens have baby chicks ?|DESC|NNS|dobj|NON|xxxx|chicks|F
What is the historical relationship of Catholic Church and bingo ?|DESC|JJ|amod|NON|xxxx|historical|F
What is the historical relationship of Catholic Church and bingo ?|DESC|NN|nsubj|NON|xxxx|relationship|F
What is the historical relationship of Catholic Church and bingo ?|DESC|NNP|compound|ORG|Xxxxx|Catholic|F
What is the historical relationship of Catholic Church and bingo ?|DESC|NNP|pobj|ORG|Xxxxx|Church|F
What is the historical relationship of Catholic Church and bingo ?|DESC|NN|conj|NON|xxxx|bingo|F
How was the element calcium named ?|DESC|NN|compound|NON|xxxx|element|F
How was the element calcium named ?|DESC|NN|nsubj|NON|xxxx|calcium|F
How was the element calcium named ?|DESC|VBN|acl|NON|xxxx|named|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NN|nsubj|NON|xxxx|crooner|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NNP|compound|ORG|Xxxxx|Andrews|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NNPS|dobj|ORG|Xxxxx|Sisters|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NNP|compound|ORG|Xxxxx|Pistol|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NNP|compound|ORG|Xxxxx|Packin|F
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|HUM|NNP|pobj|ORG|Xxxx|Mama|F
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|NN|compound|NON|xxxx|piano|F
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|NN|nsubj|NON|xxxx|company|F
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|PRP$|poss|NON|xxx|its|NF
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|NN|nsubj|NON|xxxx|product|F
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|VBZ|ccomp|NON|xx|is|NF
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|NNP|attr|NON|Xxxxx|Instrument|F
What piano company claims its product is the '' Instrument of the immortals '' ?|HUM|NNS|pobj|NON|xxxx|immortals|F
When did the Bounty mutiny take place ?|NUM|VBD|aux|NON|xxx|did|NF
When did the Bounty mutiny take place ?|NUM|NNP|compound|NON|Xxxxx|Bounty|F
When did the Bounty mutiny take place ?|NUM|NN|nsubj|NON|xxxx|mutiny|F
When did the Bounty mutiny take place ?|NUM|NN|dobj|NON|xxxx|place|F
What novel inspired the movie BladeRunner ?|ENTY|NN|nsubj|NON|xxxx|novel|F
What novel inspired the movie BladeRunner ?|ENTY|NN|dobj|NON|xxxx|movie|F
What novel inspired the movie BladeRunner ?|ENTY|NNP|npadvmod|PRODUCT|XxxxxXxxxx|BladeRunner|F
What is a transistor ?|DESC|NN|nsubj|NON|xxxx|transistor|F
What is a film starring Jude Law ?|ENTY|NN|attr|NON|xxxx|film|F
What is a film starring Jude Law ?|ENTY|VBG|acl|NON|xxxx|starring|F
What is a film starring Jude Law ?|ENTY|NNP|compound|PERSON|Xxxx|Jude|F
What is a film starring Jude Law ?|ENTY|NNP|dobj|PERSON|Xxx|Law|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|NNP|compound|GPE|Xxxxx|Hollywood|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|NN|nsubj|NON|xxx|dog|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|NNS|pobj|NON|xxxx|arms|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|NNP|compound|PERSON|Xxxx|Jean|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|NNP|pobj|PERSON|Xxxxx|Harlow|F
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|ENTY|CD|pobj|DATE|dddd|1932|F
What are the most common elements in the Earth's crust ?|ENTY|RBS|advmod|NON|xxxx|most|NF
What are the most common elements in the Earth's crust ?|ENTY|JJ|amod|NON|xxxx|common|F
What are the most common elements in the Earth's crust ?|ENTY|NNS|attr|NON|xxxx|elements|F
What are the most common elements in the Earth's crust ?|ENTY|NNP|poss|LOC|Xxxxx|Earth|F
What are the most common elements in the Earth's crust ?|ENTY|NN|pobj|NON|xxxx|crust|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|JJ|dobj|NON|xxxx|much|NF
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|MD|aux|NON|xxxx|would|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|VB|xcomp|NON|xxxx|purchase|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|CD|advmod|NON|d-xxxx|2-foot|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|JJ|amod|NON|xxxx|square|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|NN|compound|NON|xxxx|party|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|NN|dobj|NON|xxxx|tent|F
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|NUM|NNS|pobj|NON|xxxx|sides|F
What actress has received the most Oscar nominations ?|HUM|NN|nsubj|NON|xxxx|actress|F
What actress has received the most Oscar nominations ?|HUM|VBZ|aux|NON|xxx|has|NF
What actress has received the most Oscar nominations ?|HUM|RBS|advmod|NON|xxxx|most|F
What actress has received the most Oscar nominations ?|HUM|JJ|amod|LOC|Xxxxx|Oscar|F
What actress has received the most Oscar nominations ?|HUM|NNS|dobj|NON|xxxx|nominations|F
What are equity securities ?|DESC|NN|compound|NON|xxxx|equity|F
What are equity securities ?|DESC|NNS|nsubj|NON|xxxx|securities|F
What is gymnophobia ?|DESC|JJ|acomp|NON|xxxx|gymnophobia|F
How many years do fossils take to form ?|NUM|JJ|amod|NON|xxxx|many|NF
How many years do fossils take to form ?|NUM|NNS|npadvmod|NON|xxxx|years|F
How many years do fossils take to form ?|NUM|VBP|aux|NON|xx|do|NF
How many years do fossils take to form ?|NUM|NNS|nsubj|NON|xxxx|fossils|F
How many years do fossils take to form ?|NUM|VB|advcl|NON|xxxx|form|F
Where is the Orinoco ?|LOC|NNP|nsubj|NON|Xxxxx|Orinoco|F
What was the name of the '' Little Rascals '' dog ?|ENTY|NN|nsubj|NON|xxxx|name|F
What was the name of the '' Little Rascals '' dog ?|ENTY|NNP|compound|NON|Xxxxx|Little|F
What was the name of the '' Little Rascals '' dog ?|ENTY|NNP|nmod|NON|Xxxxx|Rascals|F
What was the name of the '' Little Rascals '' dog ?|ENTY|NN|pobj|NON|xxx|dog|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NN|nsubj|NON|xxxx|city|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NNP|poss|ORG|Xxxx|Penn|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NNP|dobj|ORG|Xxxxx|Landing|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NNS|pobj|NON|xxxx|banks|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NNP|compound|GPE|Xxxxx|Delaware|F
What city boasts Penn's Landing , on the banks of the Delaware river ?|LOC|NN|pobj|NON|xxxx|river|F
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|NNP|compound|FAC|Xxxxx|Broadway|F
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|NN|nsubjpass|NON|xxxx|musical|F
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|VBD|auxpass|NON|xxx|was|NF
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|NNP|poss|ORG|Xxxxx|Cervantes|F
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|NNP|compound|PERSON|Xxx|Don|F
What Broadway musical was inspired by Cervantes's Don Quixote ?|ENTY|NNP|pobj|PERSON|Xxxxx|Quixote|F
How many hostages were killed in the Entebbe raid ?|NUM|JJ|amod|NON|xxxx|many|NF
How many hostages were killed in the Entebbe raid ?|NUM|NNS|nsubjpass|NON|xxxx|hostages|F
How many hostages were killed in the Entebbe raid ?|NUM|VBD|auxpass|NON|xxxx|were|NF
How many hostages were killed in the Entebbe raid ?|NUM|NNP|compound|ORG|Xxxxx|Entebbe|F
How many hostages were killed in the Entebbe raid ?|NUM|NN|pobj|NON|xxxx|raid|F
How you can raise your IQ ?|DESC|MD|aux|NON|xxx|can|NF
How you can raise your IQ ?|DESC|PRP$|poss|NON|xxxx|your|NF
How you can raise your IQ ?|DESC|NN|dobj|NON|XX|IQ|F
What does INRI stand for when used on Jesus ' cross ?|ABBR|VBZ|aux|NON|xxxx|does|NF
What does INRI stand for when used on Jesus ' cross ?|ABBR|NNP|nsubj|ORG|XXXX|INRI|F
What does INRI stand for when used on Jesus ' cross ?|ABBR|VBN|advcl|NON|xxxx|used|NF
What does INRI stand for when used on Jesus ' cross ?|ABBR|NNP|poss|PERSON|Xxxxx|Jesus|F
What does INRI stand for when used on Jesus ' cross ?|ABBR|NN|pobj|NON|xxxx|cross|F
Who produces Spumante ?|HUM|NNP|dobj|LOC|Xxxxx|Spumante|F
Who earns their money the hard way ?|HUM|PRP$|poss|NON|xxxx|their|NF
Who earns their money the hard way ?|HUM|NN|dobj|NON|xxxx|money|F
Who earns their money the hard way ?|HUM|JJ|amod|NON|xxxx|hard|F
Who earns their money the hard way ?|HUM|NN|npadvmod|NON|xxx|way|F
Who founded the People's Temple Commune ?|HUM|NNPS|poss|ORG|Xxxxx|People|F
